0,878
1,840
2,840
3,868
4,873
5,853
6,845
7,850
8,810
9,838
10,791
11,794
12,797
13,849
14,859
15,889
16,875
17,880
18,874
19,827
20,833
21,865
22,822
23,860
24,815
25,779
26,810
27,871
28,801
29,799
30,830
31,818
32,1011
33,955
34,1002
35,949
36,954
37,980
38,978
39,990
40,975
41,1052
42,1006
43,978
44,1000
45,1035
46,993
47,1034
48,962
49,997
50,970
51,968
52,1050
53,981
54,992
55,958
56,936
57,939
58,945
59,961
60,975
61,959
62,958
63,961
64,1076
65,1036
66,1069
67,957
68,1074
69,961
70,1041
71,1048
72,1139
73,1048
74,1019
75,1076
76,1057
77,1034
78,1044
79,1094
80,1116
81,1103
82,1083
83,1155
84,1164
85,1116
86,1085
87,1169
88,1053
89,1126
90,1068
91,1045
92,1020
93,1046
94,1013
95,1033
96,974
97,979
98,1011
99,986
100,998
101,974
102,969
103,1023
104,976
105,1027
106,1046
107,978
108,979
109,1001
110,985
111,950
112,1049
113,1053
114,1042
115,996
116,1008
117,1052
118,1041
119,1024
120,1066
121,1052
122,1011
123,1078
124,1078
125,1048
126,1045
127,1040
128,1142
129,1196
130,1218
131,1171
132,1226
133,1206
134,1160
135,1218
136,1160
137,1225
138,1185
139,1218
140,1228
141,1218
142,1246
143,1172
144,1150
145,1205
146,1153
147,1140
148,1109
149,1212
150,1218
151,1144
152,1195
153,1254
154,1158
155,1157
156,1152
157,1165
158,1198
159,1139
160,1064
161,1113
162,1072
163,1079
164,1063
165,1045
166,1022
167,978
168,1038
169,1045
170,979
171,996
172,974
173,1017
174,1067
175,997
176,1049
177,1018
178,1016
179,1060
180,1015
181,1056
182,1076
183,1046
184,1023
185,1072
186,1024
187,1082
188,1037
189,1008
190,1013
191,1028
192,1017
193,1014
194,1004
195,1007
196,1101
197,1063
198,1073
199,1086
200,1038
201,1050
202,1041
203,1070
204,1026
205,1026
206,1009
207,994
208,932
209,962
210,970
211,1006
212,882
213,974
214,955
215,994
216,1032
217,974
218,965
219,977
220,1059
221,985
222,968
223,994
224,951
225,1020
226,1024
227,977
228,1082
229,1107
230,1036
231,1082
232,1062
233,1083
234,1056
235,1058
236,1097
237,1048
238,1005
239,1025
240,1095
241,1101
242,1119
243,1132
244,1097
245,1066
246,1077
247,1068
248,1109
249,1008
250,1078
251,1007
252,1029
253,1017
254,1056
255,1070
